typeID,solarSystemID,radius,itemName
13,30000018,70020000,Kazna VI
12,30000018,127140000,Kazna VII
2015,30000019,2140000,Podion I
2016,30000019,4220000,Podion II
2014,30000019,2320000,Podion III
2016,30000019,5130000,Podion IV
13,30000019,20650000,Podion V
13,30000019,22870000,Podion VI
13,30000019,22530000,Podion VII
13,30000019,31210000,Podion VIII
2016,30000019,10030000,Podion IX
2017,30000020,5080000,Lilmad I
2063,30000020,4350000,Lilmad II
2015,30000020,4440000,Lilmad III
13,30000020,41210000,Lilmad IV
13,30000020,122010000,Lilmad V
11,30000020,5540000,Lilmad VI
13,30000020,65140000,Lilmad VII
12,30000020,6710000,Lilmad VIII
2016,30000021,6590000,Kuharah I
2017,30000021,5130000,Kuharah II
2063,30000021,9290000,Kuharah III
13,30000021,66930000,Kuharah IV
13,30000021,68610000,Kuharah V
13,30000021,75520000,Kuharah VI
2014,30000021,4050000,Kuharah VII
12,30000021,6870000,Kuharah VIII
2015,30000022,5740000,Jayneleb I
2016,30000022,6540000,Jayneleb II
13,30000022,68300000,Jayneleb III
13,30000022,16040000,Jayneleb IV
13,30000022,75670000,Jayneleb V
13,30000022,74600000,Jayneleb VI
2014,30000022,4160000,Jayneleb VII
2017,30000022,4570000,Jayneleb VIII
2016,30000022,4440000,Jayneleb IX
2016,30000023,4900000,Fovihi I
2017,30000023,4790000,Fovihi II
2063,30000023,8890000,Fovihi III
13,30000023,12790000,Fovihi IV
13,30000023,43290000,Fovihi V
13,30000023,29720000,Fovihi VI
13,30000023,12000000,Fovihi VII
2016,30000024,2830000,Kiereend I
2016,30000024,2980000,Kiereend II
2063,30000024,2330000,Kiereend III
2016,30000024,6780000,Kiereend IV
11,30000024,10530000,Kiereend V
2017,30000024,13480000,Kiereend VI
13,30000024,24250000,Kiereend VII
13,30000024,20980000,Kiereend VIII
2016,30000025,5330000,Rashy I
11,30000025,4080000,Rashy II
13,30000025,27960000,Rashy III
13,30000025,83660000,Rashy IV
13,30000025,61030000,Rashy V
2063,30000025,10780000,Rashy VI
2015,30000026,2240000,Ordize I
11,30000026,9420000,Ordize II
13,30000026,112120000,Ordize III
13,30000026,13040000,Ordize IV
12,30000026,17040000,Ordize V
2014,30000026,4680000,Ordize VI
12,30000026,7360000,Ordize VII
13,30000027,38050000,Psasa I
13,30000027,106900000,Psasa II
12,30000027,73770000,Psasa III
2015,30000028,4440000,Eshtah I
11,30000028,7580000,Eshtah II
2017,30000028,12410000,Eshtah III
2016,30000028,12190000,Eshtah IV
13,30000028,14570000,Eshtah V
11,30000028,8480000,Eshtah VI
13,30000028,99640000,Eshtah VII
13,30000028,23970000,Eshtah VIII
13,30000028,24100000,Eshtah IX
2017,30000028,7050000,Eshtah X
2016,30000029,1610000,Lachailes I
2016,30000029,2940000,Lachailes II
2016,30000029,5560000,Lachailes III
11,30000029,4690000,Lachailes IV
13,30000029,30710000,Lachailes V
13,30000029,34090000,Lachailes VI
2016,30000030,1650000,Kasrasi I
2015,30000030,2430000,Kasrasi II
2016,30000030,3510000,Kasrasi III
2016,30000030,2170000,Kasrasi IV
2016,30000030,5790000,Kasrasi V
13,30000030,20540000,Kasrasi VI
2017,30000030,5270000,Kasrasi VII
13,30000030,22110000,Kasrasi VIII
13,30000030,17320000,Kasrasi IX
13,30000030,17410000,Kasrasi X
2015,30000031,1910000,Mohas I
2015,30000031,2850000,Mohas II
11,30000031,4710000,Mohas III
2015,30000031,4630000,Mohas IV
2016,30000031,6230000,Mohas V
2016,30000031,10850000,Mohas VI
11,30000031,8630000,Mohas VII
13,30000031,28350000,Mohas VIII
13,30000031,18290000,Mohas IX
2016,30000032,2820000,Hasiari I
2015,30000032,1990000,Hasiari II
2016,30000032,3730000,Hasiari III
2016,30000032,2400000,Hasiari IV
11,30000032,5020000,Hasiari V
2016,30000032,8100000,Hasiari VI
13,30000032,15740000,Hasiari VII
13,30000032,15850000,Hasiari VIII
2016,30000032,3070000,Hasiari IX
2016,30000033,2580000,Radima I
2016,30000033,3190000,Radima II
2016,30000033,4950000,Radima III
2016,30000033,3100000,Radima IV
2015,30000033,4900000,Radima V
13,30000033,14610000,Radima VI
2016,30000033,7380000,Radima VII
2016,30000033,6530000,Radima VIII
13,30000033,16710000,Radima IX
13,30000033,42150000,Radima X
13,30000033,34800000,Radima XI
2016,30000033,5410000,Radima XII
2015,30000034,2920000,Alkez I
2016,30000034,2260000,Alkez II
2016,30000034,5260000,Alkez III
13,30000034,12780000,Alkez IV
2017,30000034,15560000,Alkez V
2016,30000034,11330000,Alkez VI
13,30000034,59160000,Alkez VII
12,30000034,13380000,Alkez VIII
2016,30000035,1760000,Nimambal I
2015,30000035,1750000,Nimambal II
2016,30000035,2600000,Nimambal III
2063,30000035,1900000,Nimambal IV
2016,30000035,7280000,Nimambal V
13,30000035,16170000,Nimambal VI
13,30000035,35870000,Nimambal VII
13,30000035,13850000,Nimambal VIII
13,30000035,17910000,Nimambal IX
2017,30000035,10750000,Nimambal X
2017,30000036,4650000,Yishinoon I
11,30000036,6050000,Yishinoon II
2015,30000036,7540000,Yishinoon III
13,30000036,31340000,Yishinoon IV
13,30000036,62130000,Yishinoon V
13,30000036,96890000,Yishinoon VI
2016,30000036,8050000,Yishinoon VII
2016,30000037,4880000,Uplingur I
13,30000037,23270000,Uplingur II
13,30000037,97000000,Uplingur III
12,30000037,93370000,Uplingur IV (Ndoria)
2016,30000038,1710000,Dooz I
2016,30000038,1960000,Dooz II
2015,30000038,4500000,Dooz III
11,30000038,11890000,Dooz IV
13,30000038,23670000,Dooz V
2014,30000038,11080000,Dooz VI
2015,30000039,2390000,Bayuka I
2016,30000039,5300000,Bayuka II
2015,30000039,6580000,Bayuka III
2016,30000039,3330000,Bayuka IV
13,30000039,82430000,Bayuka V
13,30000039,43010000,Bayuka VI
13,30000039,21040000,Bayuka VII
2017,30000039,4480000,Bayuka VIII
2016,30000039,5770000,Bayuka IX
12,30000039,18150000,Bayuka X
2016,30000040,2290000,Uzistoon I
2015,30000040,2780000,Uzistoon II
2016,30000040,2900000,Uzistoon III
11,30000040,5290000,Uzistoon IV
11,30000040,4630000,Uzistoon V
13,30000040,19950000,Uzistoon VI
13,30000040,29120000,Uzistoon VII
2014,30000040,3620000,Uzistoon VIII
2016,30000041,3020000,Bairshir I
2016,30000041,5860000,Bairshir II
13,30000041,16320000,Bairshir III
13,30000041,80980000,Bairshir IV
13,30000041,52630000,Bairshir V
12,30000041,17390000,Bairshir VI
2015,30000042,3660000,Moh I
2016,30000042,2040000,Moh II
2015,30000042,6250000,Moh III
2014,30000042,8710000,Moh IV
13,30000042,125430000,Moh V
2016,30000042,4610000,Moh VI
2017,30000042,6050000,Moh VII
2015,30000043,2210000,Sari I
2015,30000043,2940000,Sari II
2016,30000043,4000000,Sari III
11,30000043,8950000,Sari IV
13,30000043,22770000,Sari V
13,30000043,41450000,Sari VI
11,30000043,11710000,Sari VII
2016,30000043,6470000,Sari VIII
12,30000043,20570000,Sari IX
2015,30000044,1740000,Faspera I
2016,30000044,1910000,Faspera II
2014,30000044,2780000,Faspera III
2015,30000044,3480000,Faspera IV
2016,30000044,3930000,Faspera V
2016,30000044,9220000,Faspera VI
2014,30000044,2680000,Faspera VII
2017,30000044,10320000,Faspera VIII
2016,30000045,4840000,Jaymass I
2017,30000045,6500000,Jaymass II
2014,30000045,7280000,Jaymass III
13,30000045,16280000,Jaymass IV
13,30000045,72270000,Jaymass V
13,30000045,27860000,Jaymass VI
2014,30000045,2560000,Jaymass VII
2016,30000046,2490000,Mifrata I
2063,30000046,1810000,Mifrata II
2017,30000046,6310000,Mifrata III
13,30000046,29520000,Mifrata IV
13,30000046,29140000,Mifrata V
12,30000046,13250000,Mifrata VI
2014,30000046,4430000,Mifrata VII
2063,30000047,3390000,Majamar I
2015,30000047,4280000,Majamar II
2017,30000047,7900000,Majamar III
2017,30000047,9040000,Majamar IV
2017,30000047,9090000,Majamar V
13,30000047,30720000,Majamar VI
13,30000047,89130000,Majamar VII
12,30000047,19240000,Majamar VIII
12,30000047,12330000,Majamar IX
2016,30000047,2370000,Majamar X
2015,30000048,3810000,Ihal I
2015,30000048,3800000,Ihal II
13,30000048,19700000,Ihal III
2017,30000048,7910000,Ihal IV
13,30000048,25640000,Ihal V
13,30000048,103950000,Ihal VI
13,30000048,71320000,Ihal VII
13,30000048,22430000,Ihal VIII
2016,30000048,11080000,Ihal IX
2017,30000048,4940000,Ihal X
2015,30000049,3140000,Camal I
2016,30000049,2020000,Camal II
2014,30000049,4280000,Camal III
11,30000049,4900000,Camal IV
2016,30000049,6850000,Camal V
13,30000049,13660000,Camal VI
13,30000049,18730000,Camal VII
2016,30000049,7980000,Camal VIII
11,30000049,11830000,Camal IX
2016,30000050,3650000,Fera I
2063,30000050,3800000,Fera II
2017,30000050,4520000,Fera III
2017,30000050,7870000,Fera IV
2016,30000051,3120000,Juddi I
2016,30000051,1710000,Juddi II
2015,30000051,4800000,Juddi III
2017,30000051,6150000,Juddi IV
2016,30000051,2680000,Juddi V
11,30000051,8200000,Juddi VI
13,30000051,34770000,Juddi VII
13,30000051,17480000,Juddi VIII
13,30000051,45130000,Juddi IX
13,30000051,12170000,Juddi X
2016,30000051,3250000,Juddi XI
2063,30000052,2730000,Maspah I
2016,30000052,3100000,Maspah II
11,30000052,4300000,Maspah III
13,30000052,20510000,Maspah IV
13,30000052,21280000,Maspah V
13,30000052,23690000,Maspah VI
2016,30000052,6490000,Maspah VII
2016,30000053,3190000,Ibaria I
2014,30000053,3980000,Ibaria II
2015,30000053,3870000,Ibaria III
11,30000053,6900000,Ibaria IV
2015,30000054,2690000,Shala I
2017,30000054,12630000,Shala II
13,30000054,27680000,Shala III
13,30000054,12850000,Shala IV
13,30000054,14570000,Shala V
2016,30000054,5360000,Shala VI
2017,30000054,8550000,Shala VII
2014,30000054,4800000,Shala VIII
2015,30000055,1940000,Zemalu I
2015,30000055,3420000,Zemalu II
2016,30000055,5520000,Zemalu III
2016,30000055,2720000,Zemalu IV
2014,30000055,3430000,Zemalu V
2016,30000055,4740000,Zemalu VI
2016,30000055,10440000,Zemalu VII
13,30000055,16380000,Zemalu VIII
11,30000055,11410000,Zemalu IX
2017,30000056,4050000,Khankenirdia I
11,30000056,6800000,Khankenirdia II
13,30000056,13190000,Khankenirdia III
11,30000056,9740000,Khankenirdia IV
13,30000056,73070000,Khankenirdia V
2016,30000056,10770000,Khankenirdia VI
2016,30000056,6680000,Khankenirdia VII
12,30000056,13600000,Khankenirdia VIII
2016,30000056,10100000,Khankenirdia IX
2015,30000056,3960000,Khankenirdia X
2016,30000057,3140000,Nikh I
2017,30000057,7130000,Nikh II
11,30000057,6110000,Nikh III
13,30000057,16780000,Nikh IV
13,30000057,93330000,Nikh V
13,30000057,63840000,Nikh VI
12,30000057,12090000,Nikh VII
12,30000057,6350000,Nikh VIII
2016,30000058,2340000,Amphar I
2016,30000058,3280000,Amphar II
2016,30000058,3340000,Amphar III
2017,30000058,18440000,Amphar IV
2017,30000058,5550000,Amphar V
13,30000058,19650000,Amphar VI
13,30000058,15450000,Amphar VII
13,30000058,32230000,Amphar VIII
13,30000058,66050000,Amphar IX
2016,30000059,3060000,Salashayama I
2016,30000059,2600000,Salashayama II
2016,30000059,3950000,Salashayama III
2017,30000059,5370000,Salashayama IV
2016,30000059,11040000,Salashayama V
13,30000059,16410000,Salashayama VI
13,30000059,24130000,Salashayama VII
13,30000059,16620000,Salashayama VIII
2015,30000060,3840000,Janus I
2016,30000060,5320000,Janus II
2016,30000060,4850000,Janus III
2016,30000060,6620000,Janus IV
2014,30000060,3010000,Janus V
2015,30000060,4000000,Janus VI
13,30000060,22010000,Janus VII
13,30000060,13020000,Janus VIII
13,30000060,76750000,Janus IX
2063,30000060,9760000,Janus X
2016,30000061,2650000,Agha I
2016,30000061,2820000,Agha II
2016,30000061,3760000,Agha III
2016,30000061,1970000,Agha IV
11,30000061,6090000,Agha V
11,30000061,9320000,Agha VI
13,30000061,19620000,Agha VII
13,30000061,57480000,Agha VIII
13,30000061,37190000,Agha IX
13,30000061,25800000,Agha X
2015,30000062,3410000,Iosantin I
2016,30000062,2850000,Iosantin II
2016,30000062,2630000,Iosantin III
2017,30000062,4940000,Iosantin IV
13,30000062,13910000,Iosantin V
11,30000062,9350000,Iosantin VI
13,30000062,34460000,Iosantin VII
13,30000062,24690000,Iosantin VIII
2016,30000063,2180000,Orva I
2016,30000063,5780000,Orva II
11,30000063,5840000,Orva III
2015,30000063,7570000,Orva IV
13,30000063,36300000,Orva V
13,30000063,19930000,Orva VI
13,30000063,21450000,Orva VII
13,30000063,16140000,Orva VIII
12,30000063,10220000,Orva IX
2017,30000063,3920000,Orva X
2016,30000064,3780000,Zet I
2016,30000064,3850000,Zet II
13,30000064,34730000,Zet III
13,30000064,41110000,Zet IV
2015,30000064,9840000,Zet V
2016,30000064,11760000,Zet VI
13,30000064,84270000,Zet VII
2016,30000064,7960000,Zet VIII
2015,30000065,1950000,Akhrad I
2016,30000065,3020000,Akhrad II
2063,30000065,2950000,Akhrad III
2015,30000065,4790000,Akhrad IV
11,30000065,7160000,Akhrad V
2016,30000065,4830000,Akhrad VI
13,30000065,53350000,Akhrad VII
13,30000065,40560000,Akhrad VIII
13,30000065,16390000,Akhrad IX
13,30000065,18010000,Akhrad X
2014,30000065,11540000,Akhrad XI
2014,30000065,3000000,Akhrad XII
13,30000066,22780000,Pirohdim I
13,30000066,36910000,Pirohdim II
13,30000066,55000000,Pirohdim III
13,30000066,25530000,Pirohdim IV
13,30000066,111790000,Pirohdim V
2016,30000066,5730000,Pirohdim VI
2016,30000066,11640000,Pirohdim VII
2016,30000066,4120000,Pirohdim VIII
2016,30000067,2280000,Sharir I
2016,30000067,3020000,Sharir II
2015,30000067,4710000,Sharir III
2016,30000067,4850000,Sharir IV
11,30000067,8030000,Sharir V
11,30000067,5560000,Sharir VI
13,30000067,23550000,Sharir VII
13,30000067,19420000,Sharir VIII
13,30000067,45110000,Sharir IX
2014,30000067,6400000,Sharir X
2015,30000068,3150000,Usroh I
2016,30000068,2340000,Usroh II
2016,30000068,4250000,Usroh III
2015,30000068,3210000,Usroh IV
11,30000068,5090000,Usroh V
2015,30000068,3150000,Usroh VI
2016,30000068,2810000,Usroh VII
13,30000068,35410000,Usroh VIII
11,30000068,11840000,Usroh IX
11,30000068,7800000,Usroh X
2015,30000069,2230000,Thiarer I
2063,30000069,3280000,Thiarer II
2015,30000069,4220000,Thiarer III
11,30000069,7490000,Thiarer IV
2016,30000069,2310000,Thiarer V
2016,30000069,6000000,Thiarer VI
13,30000069,39820000,Thiarer VII
13,30000069,19570000,Thiarer VIII
13,30000069,16340000,Thiarer IX
2063,30000070,3920000,Gomati I
2016,30000070,2060000,Gomati II
11,30000070,5440000,Gomati III
11,30000070,6420000,Gomati IV
2017,30000070,7460000,Gomati V
11,30000070,8400000,Gomati VI
13,30000070,24180000,Gomati VII
11,30000070,4190000,Gomati VIII
13,30000070,28850000,Gomati IX
2016,30000070,7400000,Gomati X
2015,30000071,4540000,Jangar I
2016,30000071,3120000,Jangar II
2016,30000071,5400000,Jangar III
2016,30000071,6790000,Jangar IV
11,30000071,8900000,Jangar V
2017,30000071,4960000,Jangar VI
2017,30000071,5900000,Jangar VII
13,30000071,18670000,Jangar VIII
2016,30000072,3550000,Nakah I
2014,30000072,2750000,Nakah II
2015,30000072,2890000,Nakah III
2016,30000072,3450000,Nakah IV
2016,30000072,3980000,Nakah V
11,30000072,6550000,Nakah VI
2016,30000073,2570000,Irshah I
2015,30000073,3010000,Irshah II
2016,30000073,5560000,Irshah III
11,30000073,5260000,Irshah IV
2017,30000073,7450000,Irshah V
13,30000073,15460000,Irshah VI
13,30000073,82230000,Irshah VII
13,30000073,54290000,Irshah VIII
12,30000073,15300000,Irshah IX
2016,30000073,8640000,Irshah X
2015,30000074,2840000,Hasateem I
2016,30000074,3290000,Hasateem II
2015,30000074,2890000,Hasateem III
11,30000074,9410000,Hasateem IV
13,30000074,53350000,Hasateem V
13,30000074,22660000,Hasateem VI
12,30000074,16500000,Hasateem VII
2016,30000075,2900000,Assah I
2017,30000075,4120000,Assah II
2016,30000075,5660000,Assah III
2016,30000075,5540000,Assah IV
13,30000075,47520000,Assah V
13,30000075,44730000,Assah VI
13,30000075,30830000,Assah VII
13,30000075,24670000,Assah VIII
2016,30000075,8410000,Assah IX
2016,30000076,3440000,Tidacha I
2016,30000076,4570000,Tidacha II
2015,30000076,4300000,Tidacha III
13,30000076,27290000,Tidacha IV
13,30000076,26810000,Tidacha V
11,30000076,5770000,Tidacha VI
13,30000076,41990000,Tidacha VII
13,30000076,32660000,Tidacha VIII
12,30000076,22780000,Tidacha IX
2016,30000077,1920000,Odlib I
2016,30000077,3410000,Odlib II
2015,30000077,4250000,Odlib III
11,30000077,4220000,Odlib IV
2014,30000077,2050000,Odlib V
11,30000077,8230000,Odlib VI
2014,30000077,6270000,Odlib VII
2016,30000077,7280000,Odlib VIII
11,30000077,10550000,Odlib IX
13,30000077,16370000,Odlib X
2017,30000077,15730000,Odlib XI
13,30000077,21720000,Odlib XII
2014,30000077,4410000,Odlib XIII
2016,30000078,2380000,Jofan I
2015,30000078,4320000,Jofan II
2016,30000078,3760000,Jofan III
2017,30000078,8330000,Jofan IV
2017,30000078,8020000,Jofan V
11,30000078,5400000,Jofan VI
13,30000078,66320000,Jofan VII
13,30000078,18490000,Jofan VIII
12,30000078,14610000,Jofan IX
2014,30000078,3410000,Jofan X
2016,30000079,3810000,Milu I
2016,30000079,4850000,Milu II
2015,30000079,6210000,Milu III
11,30000079,11920000,Milu IV
13,30000079,12990000,Milu V
2017,30000079,4500000,Milu VI
2014,30000079,3390000,Milu VII
13,30000079,55290000,Milu VIII
13,30000079,25230000,Milu IX
11,30000079,7190000,Milu X
13,30000079,25410000,Milu XI
2063,30000080,3650000,Yadi I
2016,30000080,2830000,Yadi II
2016,30000080,4510000,Yadi III
2016,30000080,2550000,Yadi IV
13,30000080,23330000,Yadi V
13,30000080,39200000,Yadi VI
13,30000080,37920000,Yadi VII
12,30000080,45250000,Yadi VIII
2063,30000081,1660000,Buftiar I
2016,30000081,6060000,Buftiar II
11,30000081,4880000,Buftiar III
13,30000081,26950000,Buftiar IV
13,30000081,127320000,Buftiar V
13,30000081,57880000,Buftiar VI
12,30000081,22870000,Buftiar VII
2016,30000082,2100000,Jarizza I
2015,30000082,3360000,Jarizza II
2016,30000082,2490000,Jarizza III
2016,30000082,1940000,Jarizza IV
11,30000082,4280000,Jarizza V
11,30000082,8340000,Jarizza VI
13,30000082,20650000,Jarizza VII
13,30000082,52200000,Jarizza VIII
13,30000082,28520000,Jarizza IX
13,30000082,29490000,Jarizza X
12,30000082,9280000,Jarizza XI
2016,30000082,5050000,Jarizza XII
2063,30000083,2240000,Ejahi I
2016,30000083,2350000,Ejahi II
2014,30000083,5290000,Ejahi III
2017,30000083,6730000,Ejahi IV
2017,30000083,9490000,Ejahi V
11,30000083,4040000,Ejahi VI
2015,30000084,2320000,Asghatil I
2016,30000084,3860000,Asghatil II
11,30000084,4940000,Asghatil III
11,30000084,6140000,Asghatil IV
11,30000084,5540000,Asghatil V
11,30000084,8800000,Asghatil VI
2016,30000084,5450000,Asghatil VII
2016,30000084,10770000,Asghatil VIII
13,30000084,17510000,Asghatil IX
2016,30000085,2860000,Bar I
2015,30000085,2960000,Bar II
2017,30000085,5750000,Bar III
11,30000085,6610000,Bar IV
13,30000085,48470000,Bar V
13,30000085,51490000,Bar VI
13,30000085,24110000,Bar VII
2014,30000085,3440000,Bar VIII
2017,30000085,5440000,Bar IX
2016,30000085,5930000,Bar X
2016,30000086,3770000,Sucha I
2016,30000086,3300000,Sucha II
2017,30000086,5570000,Sucha III
11,30000086,4210000,Sucha IV
2016,30000086,7480000,Sucha V
13,30000086,30350000,Sucha VI
13,30000086,73990000,Sucha VII
13,30000086,23290000,Sucha VIII
13,30000086,23630000,Sucha IX
12,30000086,12400000,Sucha X
2016,30000087,3110000,Gelhan I
2015,30000087,3650000,Gelhan II
2017,30000087,7160000,Gelhan III
2016,30000087,3060000,Gelhan IV
13,30000087,29440000,Gelhan V
2016,30000087,6740000,Gelhan VI
13,30000087,53360000,Gelhan VII
13,30000087,21930000,Gelhan VIII
2017,30000087,16660000,Gelhan IX
2016,30000087,6090000,Gelhan X
13,30000087,20070000,Gelhan XI
11,30000088,6520000,Akeva I
13,30000088,19200000,Akeva II
13,30000088,41770000,Akeva III
12,30000088,41505955,Akeva IV
2015,30000089,1930000,Sosa I
2016,30000089,2990000,Sosa II
2016,30000089,3070000,Sosa III
2015,30000089,4210000,Sosa IV
13,30000089,25980000,Sosa V
13,30000089,37720000,Sosa VI
13,30000089,32130000,Sosa VII
13,30000089,30650000,Sosa VIII
12,30000089,9620000,Sosa IX
12,30000089,15250000,Sosa X
2016,30000090,2030000,Ilahed I
2016,30000090,2090000,Ilahed II
2017,30000090,6010000,Ilahed III
13,30000090,26360000,Ilahed IV
13,30000090,27220000,Ilahed V
13,30000090,69620000,Ilahed VI
2016,30000090,8910000,Ilahed VII
2016,30000090,6370000,Ilahed VIII
2016,30000091,2400000,Eshwil I
2016,30000091,6460000,Eshwil II
13,30000091,130190000,Eshwil III
13,30000091,154700000,Eshwil IV
2017,30000091,8030000,Eshwil V
2016,30000092,1700000,Aranir I
2015,30000092,2860000,Aranir II
2017,30000092,3950000,Aranir III
11,30000092,5670000,Aranir IV
13,30000092,21340000,Aranir V
2017,30000092,7440000,Aranir VI
13,30000092,42130000,Aranir VII
13,30000092,36410000,Aranir VIII
2014,30000092,5640000,Aranir IX
2016,30000093,1940000,Ishkad I
2016,30000093,3610000,Ishkad II
2015,30000093,3130000,Ishkad III
11,30000093,4020000,Ishkad IV
13,30000093,11590000,Ishkad V
2014,30000093,5510000,Ishkad VI
11,30000093,6280000,Ishkad VII
13,30000093,18490000,Ishkad VIII
2014,30000093,12070000,Ishkad IX
2016,30000094,3550000,Hahyil I
2016,30000094,3830000,Hahyil II
2016,30000094,7380000,Hahyil III
13,30000094,16350000,Hahyil IV
13,30000094,80930000,Hahyil V
13,30000094,22090000,Hahyil VI
12,30000094,36070000,Hahyil VII
2014,30000094,4240000,Hahyil VIII
